corrected_tweet,class,cleaned_text,synonym_replacement
got a bitch tip toeing on my hardwood floors,1,got a bitch tip toeing on my hardwood floors,got a bitch tip toeing on my hardwood floors
her pussy lips like heaven doors,1,her pussy lips like heaven doors,her pussy lips like heaven doors
hoe what its hitting for,1,hoe what its hitting for,hoe what its hit for
i met that pussy on ocean or i gave that pussy a pill,1,i met that pussy on ocean or i gave that pussy a pill,i meet that pussy on ocean or i gave that pussy a pill
i need a grippy bitch who fuck on hennessy,1,i need a grippy bitch who fuck on hennessy,i need a grippy bitch who fuck on hennessy
i spend my money how i want bitch its my business,1,i spend my money how i want bitch its my business,iodine spend my money how iodine want bitch its my business
i text my old bitch my new bitch pussy wetter,1,i text my old bitch my new bitch pussy wetter,i text my old bitch my new bitch pussy wetter
id say in back to they old me but my old bitches would get excited,1,id say in back to they old me but my old bitches would get excited,id say in back to they old me but my old bitches would get excited
if you int bout that murder game pussy nigga shut up,1,if you int bout that murder game pussy nigga shut up,if you int bout that murder game pussy nigga shut up
if your toes int done you pussy stinks,1,if your toes int done you pussy stinks,if your toes int done you pussy malodor
in done with bitter bitches its a wrap for that if you a angry bird there a app for that,1,in done with bitter bitches its a wrap for that if you a angry bird there a app for that,in done with bitter bitches its a wrap for that if you a angry bird there a app for that
is that a bitch,1,is that a bitch,is that angstrom bitch
it int nothing to cut a bitch off,1,it int nothing to cut a bitch off,information_technology int nothing to cut a bitch off
jus meet son now he a mane ass bitches shots,1,jus meet son now he a mane ass bitches shots,jus meet son now he a mane buttocks bitches shots
lames crying over hoes that tears of a clown,1,lames crying over hoes that tears of a clown,lames crying over hoes that tears of a clown
like snoop said in we done love these hoes,1,like snoop said in we done love these hoes,like snoop said in we done love these hoe
mommy said no pussy cats inside my doghouse,2,mommy said no pussy cats inside my doghouse,mommy state no pussy cats inside my doghouse
most hated but they hoes favourite my sevenone,1,most hated but they hoes favourite my sevenone,most hated but they hoes favourite my sevenone
nice girls bad make me get naughty bad yellow hoe real nice body down south chick like pm real thick,1,nice girls bad make me get naughty bad yellow hoe real nice body down south chick like pm real thick,nice girls bad make me get naughty bad yellow hoe real nice body down south chick like pm real thick
pimps up pimps up hoes down future voice,1,pimps up pimps up hoes down future voice,pimps up pimps up hoes down future voice
post a picture of that pussy get likes,1,post a picture of that pussy get likes,post a picture of that cunt get likes
pussy is a powerful drug happyhumpday,1,pussy is a powerful drug happyhumpday,pussy is a powerful drug happyhumpday
quick piece of pussy call it a drive by,1,quick piece of pussy call it a drive by,quick piece of pussy call it a drive by
running round here like some brand new pussy that bout to get fucked,1,running round here like some brand new pussy that bout to get fucked,running round here like some brand new pussy that bout to get fucked
these bitches even worst they'll send them guys for you,1,these bitches even worst theyll send them guys for you,these bitches even worst theyll send them guys for you
these hoes like niggas that spend money not talk bout it,1,these hoes like niggas that spend money not talk bout it,these hoes like nigger that spend money not talk bout it
we done trust these niggas all these bitches,1,we done trust these niggas all these bitches,we done trust these nigger all these bitches
all niggas a cuffing hoes cause all int never have bitches,1,all niggas a cuffing hoes cause all int never have bitches,all nigger a cuffing hoes cause all int never have bitches
you dodge a bullet all a bitches i cut off pregnant or bound to be thank god,1,you dodge a bullet all a bitches i cut off pregnant or bound to be thank god,you dodge a bullet all a bitches iodine cut off pregnant or bound to be thank god
young pill chamberlain these bitches love my music,1,young pill chamberlain these bitches love my music,young pill Chamberlain these bitches love my music
deanna trump probably cleaner than most of these twitter hoes but,1,deanna trump probably cleaner than most of these twitter hoes but,deanna trump probably cleaner than most of these twitter hoes but
gay niggas couldn't wait to act like bitches tonight,1,gay niggas couldnt wait to act like bitches tonight,homosexual niggas couldnt wait to act like bitches tonight
and mia steal his cat a replace it with a pinball he a bitch you should do it,1,and mia steal his cat a replace it with a pinball he a bitch you should do it,and mia steal his cat a replace it with a pinball he a bitch you should do it
amp hes gone always be a hoe,1,amp hes gone always be a hoe,amp hes travel always be a hoe
son of a bitch took my tic tags i like this movie,1,son of a bitch took my tic tags i like this movie,son of a bitch took my tic tags i like this movie
all i wanna do is get money and fuck model bitches russell simmons,1,all i wanna do is get money and fuck model bitches russell simmons,all i wanna do is get money and fuck model bitches russell simmons
i probably wouldn't mind school as much if we didst have to deal with bitch ass teachers between,1,i probably wouldnt mind school as much if we didst have to deal with bitch ass teachers between,i probably wouldnt mind school as much if we didst have to deal with bitch ass teachers between
in a fucking fag they said,1,in a fucking fag they said,in a fucking fag they said
females think dating a pussy is cute now how does doing this stuff make him a pussy,1,females think dating a pussy is cute now how does doing this stuff make him a pussy,females think dating a pussy is cute now how does doing this stuff make him a pussy
simplyaddictedtoguys woof woof hot sally lad,2,simplyaddictedtoguys woof woof hot sally lad,simplyaddictedtoguys woof woof hot sally lad
have a ever asked your bitch for other bitches kane voice yes,1,have a ever asked your bitch for other bitches kane voice yes,have a ever asked your bitch for other bitches kane voice yes
how a gone bring or side bitch to a game where you know a of friends at i swear,1,how a gone bring or side bitch to a game where you know a of friends at i swear,how angstrom gone bring or side bitch to angstrom game where you know angstrom of friends at i swear
woof woof and hot soles,2,woof woof and hot soles,woof woof and hot soles
lemme eat a oreo amp do these dishes one oreo low,2,lemme eat a oreo amp do these dishes one oreo low,lemme eat a oreo amp do these dish one oreo low
bitch fuck a maybe you'll get better just,1,bitch fuck a maybe youll get better just,bitch fuck a maybe youll get better just
fuck red malone man bitch ass nigga could you please use complete sentences,1,fuck red malone man bitch ass nigga could you please use complete sentences,fuck red malone man bitch ass nigga could you please use complete sentences
why they eggplant emo does he say she looked like scream lao,2,why they eggplant emo does he say she looked like scream lao,why they eggplant emo does he say she looked like scream lao
hennessy venom it that one sexy bitch,1,hennessy venom it that one sexy bitch,hennessy venom it that one sexy bitch
him see me pussy wetter then a shower curtainahmesehwetnessltlmao,1,him see me pussy wetter then a shower curtainahmesehwetnessltlmao,him see me pussy wetter then a shower curtainahmesehwetnessltlmao
eaglesnation and every eagles need to see that pic i just posted because that bitch just said they most racist shit,1,eaglesnation and every eagles need to see that pic i just posted because that bitch just said they most racist shit,eaglesnation and every eagles need to see that pic i just posted because that bitch just said they most racist shit
to fuck skateboarding all all some wood pushing faggots man ball is life,1,to fuck skateboarding all all some wood pushing faggots man ball is life,to fuck skateboarding all all some wood push faggots man ball is life
baby monkey bathtime a this is soon adorable,2,baby monkey bathtime a this is soon adorable,baby monkey bathtime a this is soon adorable
i int shit damn skippy low,1,i int shit damn skippy low,i int crap damn skippy low
a ever kill a ant on they sidewalk and think damn what if that nigga was on his way to get some pussy is must a chance,1,a ever kill a ant on they sidewalk and think damn what if that nigga was on his way to get some pussy is must a chance,a ever kill a ant on they sidewalk and think damn what if that nigga was on his way to get some pussy is must a chance
rings maps bitches low,1,rings maps bitches low,rings maps bitches low
pal talk bad about they ghettohood but as a kid growing up a nigga had funnnnnnn,1,pal talk bad about they ghettohood but as a kid growing up a nigga had funnnnnnn,buddy talk bad about they ghettohood but as a kid growing up a nigga had funnnnnnn
they facts on tattoostattoo hes a pussy with not tattooing them nipples,1,they facts on tattoostattoo hes a pussy with not tattooing them nipples,they facts on tattoostattoo hes a pussy with not tattooing them nipples
bitches be wanting to act like niggas so bad that shit int cuteeeee but niggas act like bitches,1,bitches be wanting to act like niggas so bad that shit int cuteeeee but niggas act like bitches,bitches be wanting to act like niggas so bad that shit int cuteeeee but niggas act like bitches
get worshipping bitch woof woof,1,get worshipping bitch woof woof,get worshipping bitch woof woof
wow in lost are those buttcheek piercings yeah shes a hoe,1,wow in lost are those buttcheek piercings yeah shes a hoe,wow in lost are those buttcheek piercings yeah shes a hoe
of sis shed rather be a broke bitch shrugs shell have to tell me how it works for her,1,of sis shed rather be a broke bitch shrugs shell have to tell me how it works for her,of sis shed rather be a broke bitch shrugs shell have to tell me how it plant for her
queer galway,0,queer galway,queer Galway
faggot read my sweets after dat a it want even funny low,1,faggot read my sweets after dat a it want even funny low,faggot read my sweets after dat a it want evening funny low
this bitch was so ungrateful for lulwhore,1,this bitch was so ungrateful for lulwhore,this bitch was so ungrateful for lulwhore
i been kidnapped to bitch,1,i been kidnapped to bitch,i been kidnapped to bitch
alsarabsss hes a beaver sch you can tell hes a mexican,0,alsarabsss hes a beaver sch you can tell hes a mexican,alsarabsss hes a beaver sch you can tell hes a mexican
happy birthday pigs thanks to,1,happy birthday pigs thanks to,happy birthday pigs thanks to
when or teacher tells a that a have homework this bitch need to go,1,when or teacher tells a that a have homework this bitch need to go,when or teacher tells a that a have homework this bitch need to go
that nigga was eating that hoe low hell yea low john paul nigga said john paul,1,that nigga was eating that hoe low hell yea low john paul nigga said john paul,that nigga was eating that hoe low hell yea low toilet paul nigga said toilet paul
what would all oil ugly bald headed bitches do if they stop making makeup amp weave,1,what would all oil ugly bald headed bitches do if they stop making makeup amp weave,what would all oil ugly bald head bitches do if they stop making makeup amp weave
leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my big,1,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my big,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my big
going back to school sucks more dick than they hoes who attend it,1,going back to school sucks more dick than they hoes who attend it,going back to school sucks more dick than they hoes who attend information_technology
on my way to fuck to bitch me as a year old,1,on my way to fuck to bitch me as a year old,on my way to fuck to bitch me as a year old
how come you never bring me food i done have a car retard,1,how come you never bring me food i done have a car retard,how come you never bring me food i done have a car retard
if richnow doesn't show up with hello tinder hoes in not his friend anymore chill i brought like like people,1,if richnow doesnt show up with hello tinder hoes in not his friend anymore chill i brought like like people,if richnow doesnt show up with hello tinder hoe in not his friend anymore chill i brought like like people
how bout them cowboys setup pussy,1,how bout them cowboys setup pussy,how bout them cowboy setup pussy
lmaooooooooooo this nigga bitch want likes for some depressing shiloh,1,lmaooooooooooo this nigga bitch want likes for some depressing shiloh,lmaooooooooooo this nigga bitch want likes for some depressing shiloh
girl you know i was spitting that a shit to you amp you was going lbvsbitch ply,1,girl you know i was spitting that a shit to you amp you was going lbvsbitch ply,girl you know i was spitting that a shit to you amp you was going lbvsbitch ply
let me make a couple sweets off cuzco page so i wont get in twitter jaillmao bitch done trick me again,1,let me make a couple sweets off cuzco page so i wont get in twitter jaillmao bitch done trick me again,let Maine make a couple sweets off cuzco page so i wont get in twitter jaillmao bitch done trick Maine again
harlem shake is just an excuse to go full retard for seconds,1,harlem shake is just an excuse to go full retard for seconds,harlem shake is just an excuse to go full retard for second
amen miles but she done need to act like a hoe just by shes emotionally damaged for,1,amen miles but she done need to act like a hoe just by shes emotionally damaged for,amen miles but she done need to act like angstrom hoe just by shes emotionally damaged for
having one loyal female is wayyyyy better than having hoes id,1,having one loyal female is wayyyyy better than having hoes id,having one loyal female be wayyyyy better than having hoes id
pussy licking pussy meow meow stopwhitepeople,1,pussy licking pussy meow meow stopwhitepeople,pussy licking pussy meow meow stopwhitepeople
check out our to man cowboysnation even with all those faggot by fans in they stands,1,check out our to man cowboysnation even with all those faggot by fans in they stands,check out our to man cowboysnation even with all those faggot by fans in they stands
what happen to them vixen end bitches they got ran and threw to they side like a foothill bitch,1,what happen to them vixen end bitches they got ran and threw to they side like a foothill bitch,what happen to them vixen end bitches they got run and threw to they side like a foothill bitch
in they bitch okay nudes pat wow,1,in they bitch okay nudes pat wow,in they bitch O.K. nudes pat wow
your fucking gay blacklisted hoe holding out for tehgodclan anyway,0,your fucking gay blacklisted hoe holding out for tehgodclan anyway,your fucking gay blacklisted hoe holding out for tehgodclan anyway
they fuck be wrong with these bitches nobody knows,1,they fuck be wrong with these bitches nobody knows,they fuck be wrong with these bitches nobody knows
all shut up make me bitch,1,all shut up make me bitch,all shut up make me bitch
i hate a in pregnant type of bitch,1,i hate a in pregnant type of bitch,i hate a in pregnant type of bitch
got bitches in they do but i done ever reader which is a your top,1,got bitches in they do but i done ever reader which is a your top,got bitches in they do but i make ever reader which is a your top
baseball season for they win yankees this is where they love started,2,baseball season for they win yankees this is where they love started,baseball season for they win yankees this is where they love started
little stupid as bitch i done fuck with yoooooouuuu,1,little stupid as bitch i done fuck with yoooooouuuu,little stupid as bitch i done fuck with yoooooouuuu
she really asked me that dead ass serious tho all i could say was bitch sheet low,1,she really asked me that dead ass serious tho all i could say was bitch sheet low,she really asked me that dead ass serious tho all i could say was bitch sheet low
in an early bird and in a night owl so in wise and have worms,2,in an early bird and in a night owl so in wise and have worms,in an early bird and in a night owl so in wise and have worms
overdosing on heavy drugs doesn't sound bad tonight i do that pussy shit every day,2,overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day,overdosing on heavy drugs doesnt sound bad tonight iodine do that pussy shit every day
pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures,2,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
a fag done tweet a to me low,1,a fag done tweet a to me low,a fag done tweet a to Maine low
as long as they lakes trash from now on i could careless and that real cd yamaha,2,as long as they lakes trash from now on i could careless and that real cd yamaha,as long as they lakes trash from now on i could careless and that real cd yamaha
i didst say anything tho kiss me then faggot,1,i didst say anything tho kiss me then faggot,i didst say anything tho kiss me then faggot
this they i play soccer cheat on girls and wear khaki coloured cargo haircut yup,2,this they i play soccer cheat on girls and wear khaki coloured cargo haircut yup,this they i play soccer cheat on girls and wear khaki coloured cargo haircut yup
i could go for a fat ass bitch on my lap same,1,i could go for a fat ass bitch on my lap same,i could go for a fat buttocks bitch on my lap same
missed calls as to to bitch twitter fiona be scream freemoneymelle,1,missed calls as to to bitch twitter fiona be scream freemoneymelle,missed calls as to to bitch twitter fiona be scream freemoneymelle
a side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinking bout moving lmmfao,1,a side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinking bout moving lmmfao,a side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinking bout moving lmmfao
am los pies fuck yeah,1,am los pies fuck yeah,americium los pies fuck yeah
these hoes be thinking meat wont slap they ass anna brush,1,these hoes be thinking meat wont slap they ass anna brush,these hoes be thinking meat wont slap they ass anna brush
all bitches wit no edges be doing they most talking,1,all bitches wit no edges be doing they most talking,all bitches wit no edges be doing they most talking
all still going trick or treating this year or nahhell yeah mia be a sweet tooth bandit steal bitches bags a shit,1,all still going trick or treating this year or nahhell yeah mia be a sweet tooth bandit steal bitches bags a shit,all still departure trick or treating this year or nahhell yeah mia be a sweet tooth bandit steal bitches bags a shit
i wanna have sex with my mon fuck her right in that pussy where i came from damn you got hacked like fuck,1,i wanna have sex with my mon fuck her right in that pussy where i came from damn you got hacked like fuck,i wanna have sex with my mon fuck her right in that pussy where i came from damn you got hacked like fuck
if she kiss a with her eyes open watch that bitchlmfao,1,if she kiss a with her eyes open watch that bitchlmfao,if she kiss a with her eyes open watch that bitchlmfao
you a would could should ass hoe,1,you a would could should ass hoe,you a would could should buttocks hoe
happy day bitch ass nigga appreciate that bitch roll up,1,happy day bitch ass nigga appreciate that bitch roll up,happy day bitch ass nigga appreciate that bitch roll up
used to send that bitch up,1,used to send that bitch up,used to send that bitch up
ugly bitches be like in my own wow duh bitch you int nobody else,1,ugly bitches be like in my own wow duh bitch you int nobody else,ugly bitches be like in my own wow duh bitch you int nobody else
nigga you know we hack sack hoes nah i throw no look passes lao,1,nigga you know we hack sack hoes nah i throw no look passes lao,nigga you know we hack sack hoes nah i throw no look passes Lao
glad in getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fucking pm,1,glad in getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fucking pm,glad inch getting outta atlanta nothing but a bunch of niggas inch amp outta jail amp dumb bitches with mad kids fucking pm
this int ghettos smart in doing this id,2,this int ghettos smart in doing this id,this int ghettos smart inch doing this id
i would wife a hoe only cut we wouldn't care that we cheating in each other why force they relationship in they first place,1,i would wife a hoe only cut we wouldnt care that we cheating in each other why force they relationship in they first place,i would wife a hoe only cut we wouldnt care that we cheating inch each other why force they relationship inch they first place
being single int an excuse to be a hoe,1,being single int an excuse to be a hoe,being single int an excuse to be a hoe
white boy power bitch black power bitch,1,white boy power bitch black power bitch,White boy power bitch black power bitch
lets get drunk get blower spit shit spark blunts amp fuck hoes bro white dudes have no chill,1,lets get drunk get blower spit shit spark blunts amp fuck hoes bro white dudes have no chill,lets get drunk get blower spit shit spark blunts amp fuck hoes bro white dudes have no chill
bitch where a been around they world and back where you been,1,bitch where a been around they world and back where you been,bitch where a been around they world and back where you been
if i done get my dick sucked at to party by a bad bitch in for gone set it off by,1,if i done get my dick sucked at to party by a bad bitch in for gone set it off by,if i done get my dick sucked astatine to party by a bad bitch in for gone set it off by
oof is soon cute but he probably has hoes on him a lot,1,oof is soon cute but he probably has hoes on him a lot,oof is soon cute but he probably has hoes on him a lot
in every cartoon theirs always a saving these hoes lao lao damn captain saveahoe,1,in every cartoon theirs always a saving these hoes lao lao damn captain saveahoe,in every cartoon theirs always a saving these hoes lao lao damn captain saveahoe
who wants to get there nose in these bad boys then sally chat sockfetish stinking hot so and legs,2,who wants to get there nose in these bad boys then sally chat sockfetish stinking hot so and legs,who wants to get there nose in these bad boys then sally chat sockfetish stinking hot sol and legs
i wish i was a bitch like my brother key ooooow i bet you do,1,i wish i was a bitch like my brother key ooooow i bet you do,iodine wish iodine was a bitch like my brother key ooooow iodine bet you do
if you dressed up as a cat for halloween you are basic or a pussy,1,if you dressed up as a cat for halloween you are basic or a pussy,if you dressed up as a cat for halloween you are basic or a pussy
can pornhub just get a gaming stream feature so these dumb bitches can to get on it patient,1,can pornhub just get a gaming stream feature so these dumb bitches can to get on it patient,can pornhub just get a gaming stream feature so these dumb bitches can to get on it patient
stop being scared to choke her during sex a bitch ass niggas shell like it says they guy who hits women out of bed for,1,stop being scared to choke her during sex a bitch ass niggas shell like it says they guy who hits women out of bed for,stop being scared to choke her during sex a bitch ass niggas shell like it says they guy who hits women out of bed for
a well guess i make them hoes loyal bro they'll never be loyal that a they hoes my big,1,a well guess i make them hoes loyal bro theyll never be loyal that a they hoes my big,a well guess i make them hoes loyal bro theyll never be loyal that a they hoes my big
of man its am you off a molly to where they fuck a seed at fixed,1,of man its am you off a molly to where they fuck a seed at fixed,of man its am you off angstrom molly to where they fuck angstrom seed at fixed
your not a man if you refer to every girl as a bitch,1,your not a man if you refer to every girl as a bitch,your not angstrom man if you refer to every girl as angstrom bitch
lao this cat started beating they shit out of me my nigga finally got some pussy my nigga,1,lao this cat started beating they shit out of me my nigga finally got some pussy my nigga,lao this cat started beating they shit out of me my nigga finally got some pussy my nigga
peel up peel up bring it back up rewind back where in from they move shaw from they line ooooow who of said that trash,2,peel up peel up bring it back up rewind back where in from they move shaw from they line ooooow who of said that trash,peel up peel up bring it back up rewind back where in from they move shaw from they line ooooow who of said that trash
to to all record to vine said be hahahaha low anywaaaaaays hama,1,to to all record to vine said be hahahaha low anywaaaaaays hama,to to all record to vine said be hahahaha low anywaaaaaays hama
new its my old tape new cover my upcoming mistake is kingofthehill yeah in waiting on that hoe maybe,1,new its my old tape new cover my upcoming mistake is kingofthehill yeah in waiting on that hoe maybe,new its my old tape new cover my upcoming mistake is kingofthehill yea in waiting on that hoe maybe
of dirty foot ass bitches this was too funny to me,1,of dirty foot ass bitches this was too funny to me,of dirty foot ass bitch this was too funny to me
that where i get my yellow flags for being amazing hell yeah nigga,1,that where i get my yellow flags for being amazing hell yeah nigga,that where i get my yellow flags for being amazing hell yea nigga
done got time for bitches to be actin iffy,1,done got time for bitches to be actin iffy,done got time for bitches to be actin iffy
ucfpinkparty come on stay alive knights nation this is still they early bird special comeatmeut,2,ucfpinkparty come on stay alive knights nation this is still they early bird special comeatmeut,ucfpinkparty come on stay alive knights nation this is still they early bird special comeatmeut
these hoes int loyal no they int such amp wonder why nobody decent wants them,1,these hoes int loyal no they int such amp wonder why nobody decent wants them,these hoes int loyal no they int such amp wonder why nobody decent wants them
brush you studs keep thinking in soft as hell ask a girl how many times she screamed she was my bitch of okay stu bye hoe,1,brush you studs keep thinking in soft as hell ask a girl how many times she screamed she was my bitch of okay stu bye hoe,brush you studs keep thinking in soft as hell ask a girl how many times she screamed she was my bitch of okay stu bye hoe
dry pussy bitches always blame it on they condom,1,dry pussy bitches always blame it on they condom,dry pussy bitches always blame information_technology on they condom
shut to bitch ass up,1,shut to bitch ass up,shut to bitch ass up
gucci mane in jail and dropping mistakes every month and you hoes cant even text back,1,gucci mane in jail and dropping mistakes every month and you hoes cant even text back,gucci mane in jail and drop mistakes every month and you hoes cant even text back
you love these hoes more then money was wrong these niggas,1,you love these hoes more then money was wrong these niggas,you love these hoes More then money was wrong these niggas
a loyal bitch from they burbs without daddy issues is like finding a holographic metro sounding like me over there low,1,a loyal bitch from they burbs without daddy issues is like finding a holographic metro sounding like me over there low,angstrom loyal bitch from they burbs without daddy issues is like finding angstrom holographic metro sounding like me over there low
easy cum easy hoe that a fact,1,easy cum easy hoe that a fact,easy cum easy hoe that a fact
charlie sheen is too real major fucking respect for charlie sheen,1,charlie sheen is too real major fucking respect for charlie sheen,charlie sheen is too real major fucking respect for charlie sheen
wish i had a be you got all they hoes tho,1,wish i had a be you got all they hoes tho,wish i have a be you got all they hoes tho
fuck tweaking bitch can you cook,1,fuck tweaking bitch can you cook,fuck tweaking bitch can you cook
bitch whf,1,bitch whf,bitch whf
shut up zoe fight me pussy for zoe in good man you are good mama move along now,1,shut up zoe fight me pussy for zoe in good man you are good mama move along now,shut up zoe fight me pussy for zoe in good man you are good mama move along now
lao fucking snake bitches pm,1,lao fucking snake bitches pm,lao fucking snake bitch pm
big booty hoes everywhere shoes damn,1,big booty hoes everywhere shoes damn,big booty hoes everywhere shoes damn
stay tuned to for an update on they report that a will be out weeks bum,2,stay tuned to for an update on they report that a will be out weeks bum,stay tuned to for an update on they report that a will be out weeks bum
i play soccer cheat on girls and wear khaki coloured cargo haircut yes lao,2,i play soccer cheat on girls and wear khaki coloured cargo haircut yes lao,i play soccer cheat on girl and wear khaki coloured cargo haircut yes lao
oregon chokes every year get off they field trash ass program rat,1,oregon chokes every year get off they field trash ass program rat,oregon chokes every year get off they field trash ass program rat
def not cowboy low terrell owens was they best eagle amp cowboy ever dude cried like a bitch on to over room,1,def not cowboy low terrell owens was they best eagle amp cowboy ever dude cried like a bitch on to over room,def not cowboy low terrell Owens was they best eagle amp cowboy ever dude cried like a bitch on to over room
lmfaoooo i hate black people this is why there black people and niggers,0,lmfaoooo i hate black people this is why there black people and niggers,lmfaoooo i hate black people this be why there black people and niggers
how could a do this to me bitch potent,1,how could a do this to me bitch potent,how could a do this to me bitch potent
a pissed lad past out i would lick his dirty soles while he slept,2,a pissed lad past out i would lick his dirty soles while he slept,angstrom pissed lad past out i would lick his dirty soles while he slept
love frat boy a soft long soles,2,love frat boy a soft long soles,love fraternity boy a soft long soles
sexy lad with hot soles and arches,2,sexy lad with hot soles and arches,sexy lad with hot soles and arches
nah fam i gotta cheat with they hoes depends on they female i feel,1,nah fam i gotta cheat with they hoes depends on they female i feel,nah fam i gotta cheat with they hoes depends on they female i feel
i got hicks low,2,i got hicks low,iodine got hicks low
this new twitter is confusing they shit out of me go back to south america bitch,1,this new twitter is confusing they shit out of me go back to south america bitch,this new twitter is confusing they shit out of me go back to south america bitch
toto means ass or vagina think pussy cause toto anti is like nasty pussy,1,toto means ass or vagina think pussy cause toto anti is like nasty pussy,toto means ass Oregon vagina think pussy cause toto anti is like nasty pussy
but what if he actually does choose they ugly bitch over you her ass must be fat,1,but what if he actually does choose they ugly bitch over you her ass must be fat,but what if he actually does choose they ugly bitch over you her ass must be fat
bitch couldn't kill my vibe if a tried dis why i love miles,1,bitch couldnt kill my vibe if a tried dis why i love miles,bitch couldnt kill my vibe if a tried dis why i love mile
in tired of bitches saying i look mean nigga you big of wear tight shirts and grim everybody,1,in tired of bitches saying i look mean nigga you big of wear tight shirts and grim everybody,in tired of bitches saying i look mean nigga you big of wear tight shirts and grim everybody
birds your grandkids may never see thanks to climate change climate,2,birds your grandkids may never see thanks to climate change climate,birds your grandkids may never see thanks to climate change climate
stay beautiful you bitch,1,stay beautiful you bitch,stay beautiful you bitch
wutkinda a purple ceeeleeeman this girl was jus playing on they stupid hoe track but in still shifted on sum girls,1,wutkinda a purple ceeeleeeman this girl was jus playing on they stupid hoe track but in still shifted on sum girls,wutkinda a purple ceeeleeeman this girl was jus playing on they stupid hoe track but in still shifted on sum girls
money getting taller and bitches getting blurry,1,money getting taller and bitches getting blurry,money getting taller and bitches getting blurry
i int never seen a bitch so obsessed with they nigga in obsessed with mine,1,i int never seen a bitch so obsessed with they nigga in obsessed with mine,i int never seen a bitch so obsessed with they nigga in obsessed with mine
kobe stay talking trash but lets not forget i meant to do this one sch,1,kobe stay talking trash but lets not forget i meant to do this one sch,kobe stay talk trash but lets not forget i meant to do this one sch
at least in not a nigger lao,0,at least in not a nigger lao,astatine least in not a nigger lao
people always asking me what in mixed with she a bad asian bitch low,1,people always asking me what in mixed with she a bad asian bitch low,people always asking me what in blend with she a bad asian bitch low
